Year,State,City,Length,Mode,Company
1894,Alabama,Birmingham,58,,Birmingham Railway & Electric Co
1894,Alabama,Birmingham,29,,Highland Avenue & Belt Railroad Co. 
1894,Alabama,Birmingham,10,,East Birmingham Land & Railroad Co.
1894,Alabama,Birmingham,13.5,,Bessemer & Birmingham Railroad Co.
1894,Alabama,Blountsville,12.5,,Blountsville & Bangor Dnmmy Line Co. 
1894,Alabama,Blountsville,3,,Boise Rapid Transit Co. 
1894,Alabama,Gadsden,13.5,,Gadsden & Attalla Union Railway Co. 
1894,Alabama,Huntsville,12,,Huntsville Belt Line & Monte Sano Railway Co.  
1894,Alabama,Mobile,7.3,,Mobile Light & Railway Co  
1894,Alabama,Mobile,20.5,,Mobile Street Railway Co 
1894,Alabama,Mobile,1.5,,Herkimer & Mohawk Street Railroad Co. 
1894,Alabama,Montgomery,9,,Montgomery Street Railway Co. 
1894,Alabama,Montgomery,7,,Mobile & Spring Hill Railway Co. 
1894,Alabama,New Decatur,3,,Decatur Street Railway Co.   
1894,Alabama,Selma,8,,Selma Street k Suburban Railway Co.  
1894,Alabama,Sheffield,9,,Sheffield Street Railway Co.  
1894,Alabama,Tuscaloosa,4,,Tuscaloosa Street Railway Co. 
1894,Alabama,Tuscaloosa,4.5,,Tuscaloosa Belt Railway Co.   
1894,Alabama,Union Springs,2,,Union Springs Street Car Co.
1894,Connecticut,Bridgeport,32,,Bridgeport Traction Co
1894,Connecticut,Danbury,65,,Danbury & Bethel Street Railway Co
1894,Connecticut,Derby,4,,Derby Street Railway Co
1894,Connecticut,Hartford,20,,Hartford Street Railway Co
1894,Connecticut,Meriden,17,,Meriden Electric Railway Co
1894,Connecticut,New Haven,2.75,,New Haven & Centerville Street Railway Co
1894,Connecticut,,21.96,,Winchester Avenue Railroad Co
1894,Connecticut,New Haven,15,,Fair Haven & Westville Railway Co
1894,Connecticut,New London,8,,New London Street Railway Co 
1894,Connecticut,Norwich,14.5,,Norwich Street Railway Co
1894,Connecticut,Stamford,7,,Stamford Street Railroad Co
1894,Connecticut,New Britain,12,,Central Railway Electric Co
1894,Connecticut,Norwalk,5,,N o rw a lk S tre e t R a ilw a y Co
1894,Connecticut,Norwalk,7,,Norwalk Tramway Co
1894,Florida,Fort Meade,2,,Fort Meade Railway Co
1894,Florida,Jacksonville,10.25,,North Jacksonville Street Rwy
1894,Florida,Jacksonville,5,,Jacksonville Railway Co
1894,Florida,Jacksonville,7,,Jacksonville Main St Co
1894,Florida,Key West,5,,125 The Key West Elec Co
1894,Florida,Tampa,4,,130 Tampa Elec Co
1894,Florida,Palatka,2,,Palatka & Heights Rwy Co.
1894,Florida,Orlando,3,,Orlando St Co
1894,Maryland,Baltimore,15.3,Cable,Baltimore Traction Co
1894,Maryland,Baltimore,36.5,Electric,Baltimore Traction Co
1894,Maryland,Baltimore,23.59,Horse,Baltimore Traction Co
1894,Maryland,Baltimore,3.08,,Baltimore Traction Co
1894,Maryland,Baltimore,61,,City & Suburban Railway Co
1894,Maryland,Baltimore,22,Cable,Baltimore City Passenger Railway Co
1894,Maryland,Baltimore,21,Electric,Baltimore City Passenger Railway Co
1894,Maryland,Baltimore,16,Horse,Baltimore City Passenger Railway Co
1894,Maryland,Baltimore,13,Electric,Central Passenger Railway Co
1894,Maryland,Baltimore,25.68,Electric,Lake Roland Elevated Railway Co
1894,Maryland,Bay Ridge,2,,Arundel on the Bay Railroad
1894,Maryland,Cumberland,6,Electric,Cumberland Electric Railway Co
1894,Michigan,,2.8,,
1894,Michigan,,5.75,,
1894,Michigan,,9,,
1894,Michigan,,8.2,,
1894,Michigan,,23,,
1894,Michigan,,67,,
1894,Michigan,,3.75,,
1894,Michigan,,23.5,,
1894,Michigan,,1.5,,
1894,Michigan,,14,,
1894,Michigan,,44.05,,
1894,Michigan,,5.5,,
1894,Michigan,,8,,
1894,Michigan,,12,,
1894,Michigan,,8,,
1894,Michigan,,11,,
1894,Michigan,,5,,
1894,Michigan,,6.9,,
1894,Michigan,,3.25,,
1894,Michigan,,15,,
1894,Michigan,,9,,
1894,Michigan,,30,,
1894,Michigan,,5.5,,
1894,Michigan,,4.25,,
1894,Louisiana,New Orleans,19,,New Orleans & Carrollton Railroad Co.
1894,Louisiana,New Orleans,15,,St. Charles Street Railroad Co.
1894,Louisiana,New Orleans,13.5,,Canal & Claiborne Railroad Co.
1894,Louisiana,New Orleans,9.5,,Orleans Railroad Co.
1894,Louisiana,New Orleans,3.75,,Algiers & Gretna Railway Co.
1894,Louisiana,Shreveport,1.5,,Shreveport City Railroad Co.
1894,Louisiana,Shreveport,5.25,,Shreveport Railway & Land Improvement Co.
1894,Louisiana,Lake Charles,1.75,,Lake Charles Street Railway Co.
1894,Louisiana,Baton Rouge,5.75,,Baton Rouge Electric Railway Co.
1894,New York,Albany,32.1,Electric,The Albany Railway
1894,New York,Amsterdam,7.54,Horse,Amsterdam Street Railroad
1894,New York,Auburn,5.55,Electric,Auburn City Railroad Co. 
1894,New York,Babylon,1.53,Horse,The Babylon Railroad Co.
1894,New York,Binghamton,27,Electric,Binghamton Railroad Co. 
1894,New York,Brooklyn,175,Electric,Brooklyn Heights R. R. Co.
1894,New York,Brooklyn,29.1,Horse,Brooklyn Heights R. R. Co.
1894,New York,Brooklyn,1.17,Cable,Brooklyn Heights R. R. Co.
1894,New York,Brooklyn,174,Electric,Brooklyn City R. R. Co.
1894,New York,Brooklyn,17.1,Horse,Brooklyn City R. R. Co.
1894,New York,Brooklyn,12.8,Electric,"Brooklyn, Queens Co. & Suburban R. R. Co."
1894,New York,Brooklyn,32.1,Horse,"Brooklyn, Queens Co. & Suburban R. R. Co."
1894,New York,Brooklyn,21.8,Electric,Atlantic Ave. R. R. Co.
1894,New York,Brooklyn,17.1,Horse,Atlantic Ave. R. R. Co.
1894,New York,Brooklyn,6.64,Electric,"Brooklyn, Bath & West End R. R. Co."
1894,New York,Brooklyn,24.8,Electric,Coney Island & Brooklyn R. R. Co.
1894,New York,Brooklyn,21.4,Electric,Brooklyn City & Newtown R. R. Co.
1894,New York,Brooklyn,2.5,Horse,Van Brunt St. & Erie Basin R. R. Co.
1894,New York,Buffalo,43.91,Electric,Buffalo Railway CO
1894,New York,Buffalo,24.79,Horse,Buffalo Railway CO
1894,New York,Buffalo,59,Electric,Crosstown Street Railway Co. of Buffalo
1894,New York,Canandaigua,3,Electric,Canandigua Electric Light & Railroad Co.
1894,New York,City Island,3.5,Horse,Pelham Park Railroad Co.
1894,New York,City Island,2,Horse,City Island Railroad
1894,New York,Cortland,4.1,Horse,Cortland & Homer Horse Railroad Co.
1894,New York,Deerfield,2,Horse,Deerfield & Utica Railroad Co. 
1894,New York,Elmira,15.72,Electric,Elmira & Horseheads Railway Co. 
1894,New York,Elmira,7.5,Electric,West Side Railroad Co. 
1894,New York,Fishkill,3.25,Electric,Citizens' Street Railroad Co.
1894,New York,Flushing,3.98,Electric,Flushing & College Point Street Railroad Co. 
1894,New York,Frankfort,2.63,Horse,Frankfor & Ilion Street Railway Co. 
1894,New York,Fredonia,3.7,Electric,Dunkirk & Fredonia Railroad Co.
1894,New York,Fulton,1.14,Horse,Fulton & Oswego Falls Street Railway Co. 
1894,New York,Glens Falls,8.35,Horse,"Glen Falls, Sandy Hill & Fort Edward Street Railway Co."
1894,New York,Gloversville,17,Electric,Cayadutta Electric Railroad Co.
1894,New York,Gloversville,4.1,Electric,"Johnstown, Gloversville & Kinsboro Horse Railroad Co."
1894,New York,Hornellsville,4.07,Electric,The Hornellsville Electric Railway Co.
1894,New York,Hornellsville,5,Electric,Hornellsville & Canisteo Railway Co.
1894,New York,Hudson,1.81,Electric,Hudson Electric Railway Co.
1894,New York,Huntington,3,Horse,Huntington Railroad Co.
1894,New York,Ithaca,6,Electric,Ithaca Street Railway Co.
1894,New York,Jamestown,20,Electric,The Jamestown Street Railway Co.
1894,New York,Kingston ,2.98,Electric,Kingston City Railroad Co.
1894,New York,Kingston ,6,Electric,Colonial City Electric Railway Co.
1894,New York,Lancaster,14,Electric,"Buffalo, Bellevue & Lancaster Railway Co."
1894,New York,Larchmont,1.5,Horse,The Larchmont Horse Railway Co.
1894,New York,Lockport,7,Electric,Lock City Electric Railroad Co.
1894,New York,Long Island City,28,Electric,Steinway Railway Co. of Long Island City
1894,New York,Long Island City,10,Electric,Long Island City & Newtown Railway Co.
1894,New York,Middletown,3,Electric,Middletown-Goshen Traction Co.
1894,New York,Mohawk,1.75,Horse,Mohawk & Ilion Horse Railroad Co.
1894,New York,Mohawk,1.5,Horse,Herkimer & Mohawk Street Railroad Co.
1894,New York,Newburgh,5,Horse,Newburgh Street Railway Co.
1894,New York,New Rochelle,8,Horse,New Rochelle Railway & Transit Co.
1894,New York,New York,112.7,Electric,Metropolitan Street Railway Co.
1894,New York,New York,13,Horse,Broadway & Seventh Ave R. R. Co.
1894,New York,New York,10,Cable,Broadway & Seventh Ave R. R. Co.
1894,New York,New York,8.75,Horse,Sixth Avenue R. R. Co.
1894,New York,New York,16,Horse,Ninth Avenue R. R. Co.
1894,New York,New York,5.8,Cable,23rd Street Ry. Co.
1894,New York,New York,10.25,Horse,42nd St. & Grand St Ferry R. R. Co.
1894,New York,New York,26,Horse,"Central Park, North & East River R. R. Co."
1894,New York,New York,9,Horse,Bleeker Street R. R. Co.
1894,New York,New York,17.7,Horse,New York & Harlem R. R. Co.
1894,New York,New York,28.4,Cable,Third Ave. R. R. Co.
1894,New York,New York,28,Horse,Second Ave. R. R. Co.
1894,New York,New York,20,Horse,Eighth Ave. R. R. Co.
1894,New York,New York,24.2,Horse,"42nd St., Manhattanville & St. M. Ave. Ry. Co."
1894,New York,New York,18.54,Horse,"Dry Dock, E. Broadway & Battery R. R. Co."
1894,New York,New York,11.7,Horse,Central Crosstown R. R. Co.
1894,New York,New York,7.5,Horse,Christopher & Tenth St. R. R. Co.
1894,New York,New York,3,Horse,North & East River R. R. Co.
1894,New York,New York,23.48,Electric,Union Ry. Co
1894,New York,Niagra Falls,13,Electric,The Niagra Falls & Suspension Bridge Railway Co.
1894,New York,Niagra Falls,14,Electric,"Niagra Falls, Park 7 River Co."
1894,New York,Ogdensburg,5,Horse,Ogdensburg Street Railway Co.
1894,New York,Olean,4.96,Horse,Olean Street Railway Co.
1894,New York,Oneida,1.5,Horse,Oneida Railway Co.
1894,New York,Oneonta,2.75,Horse,Oneonta Street Railway Co.
1894,New York,Oswego,5.26,Electric,Oswego Street Railway Co.
1894,New York,Poughkeepsie,4.5,Horse,City Railroad of Poughkeepsie
1894,New York,Rochester,77.45,Electric,Rochester Railway Co.
1894,New York,Rochester,8.88,Electric,Rochester Electric Railway Co.
1894,New York,Rockaway,1,Horse,Rockaway Village Railroad Co.
1894,New York,Rome,6.75,Horse,Rome City Street Railway Co.
1894,New York,Saratoga,10.1,Electric,Union Electric Railway of Saratoga
1894,New York,Schenectady,4.75,Electric,Schenectady Street Railway Co.
1894,New York,Seneca Falls,3.5,Electric,The Seneca Electric Railway Co.
1894,New York,Sing Sing,3,Electric,Ossining Electric Railway Co.
1894,New York,Staten Island,2,Electric,Port Richmond & Prohibition Park Electric Railroad Co.
1894,New York,Syracuse,20.948,Horse,Syracuse Street Railway Co.
1894,New York,Syracuse,20,Electric,Syracuse Consolidated Street Railway
1894,New York,Syracuse,14.25,Horse,Syracuse Consolidated Street Railway
1894,New York,Syracuse,10,Electric,Syracuse Eastwood Heights & De Witt Railroad Co.
1894,New York,Stillwater,4.42,Horse,Stillwater & Mechiesville Street Railway Co.
1894,New York,Tonawanda,3.5,Horse,Tonawanda Street Railroad Co.
1894,New York,Tonawanda,6,Electric,Tonawanda Electric Railroad Co.
1894,New York,Tonawanda,5.99,Electric,"Buffalo, Kenmore & Tonawanda Electric Railroad Co."
1894,New York,Tonawanda,5.75,Electric,"Buffalo, North Main Street & Tonawanda Electric Railroad Co."
1894,New York,Tonawanda,6,Electric,Buffalo & Tonawanda Electric Railroad Co.
1894,New York,Troy,25.769,Electric,Troy City Railway
1894,New York,Troy,4,Horse,Troy City Railway
1894,New York,Utica,17.318,Electric,Utica Belt Line Street Railroad Co.
1894,New York,Utica,3.08,Electric,Utica & Mohawk Railroad Co.
1894,New York,Utica,1.57,Horse,Oneida Street Railroad Co.
1894,New York,Watertown,6,Electric,Watertown Street Railway Co.
1894,New York,Williamsville,4.58,Electric,Buffalo & Williamsville Electric Railway Co.
1894,New York,Yonkers,8.5,Horse,The Yonkers Railroad Co.
1894,Minnesota,Duluth,55.75,,
1894,Minnesota,Minneapolis,233.379,,
1894,Minnesota,St. Cloud,13,,
1894,Minnesota,Winona,4,,
1894,Vermont,Burlington,6.38,,
1894,Vermont,Rutland,8,,
1894,California,Alameda,6.5,,
1894,California,Eureka,4.5,,
1894,California,Fresno,4.5,Horse,Fresno Railroad Co.
1894,California,Los Angeles ,43,Electric,Los Angeles Consolidated Electric Railway Co.
1894,California,Los Angeles ,22,Cable,Los Angeles Consolidated Electric Railway Co.
1894,California,Los Angeles ,39,Horse,Los Angeles Consolidated Electric Railway Co.
1894,California,Los Angeles ,4.75,Cable ,Temple Street Cable Railway Co.
1894,California,Los Angeles ,9.24,Horse,Main Street & Agricultural Park Railroad Co.
1894,California,Marysville,4,,
1894,California,Monterey,5,,
1894,California,Oakland,109.95,,
1894,California,Ontarioa,8.5,,
1894,California,Pasadena,342.23,,
1894,California,Paso robles,5,,
1894,California,POMONA,4,,
1894,California,REDLANDS,2.5,,
1894,California,Sacramento,18.5,Electric,Central Electric Railway Co.
1894,California,San Diego,10,,"San Diego, Old Town & Pacific Beach Railroad Co."
1894,California,San Diego,10.5,,San Diego Cable Railway Co.
1894,California,San Diego,15,Electric,San Diego Electric Railway Co.
1894,California,San Diego,5,Horse,San Diego Electric Railway Co.
1894,California,San Francisco,68.5,Cable,Market Street Railway Co.
1894,California,San Francisco,56,Horse,Market Street Railway Co.
1894,California,San Francisco,18.3,Steam,Market Street Railway Co.
1894,California,San Francisco,15.7,Electric,Market Street Railway Co.
1894,California,San Francisco,8,Cable,"Geary Street, Park & Ocean Railroad Co."
1894,California,San Francisco,11,Cable,California Street Cable Railroad Co
1894,California,San Francisco,12,Cable,Sutter Street Railway Co.
1894,California,San Francisco,1,Horse,Sutter Street Railway Co.
1894,California,San Francisco,7.5,Cable,Presidio & Ferries Railroad Co.
1894,California,San Francisco,2,Horse,Presidio & Ferries Railroad Co.
1894,California,San Francisco,2,Steam,Presidio & Ferries Railroad Co.
1894,California,San Francisco,24,Electric,San Francisco & San Mateo Railway Co
1894,California,San Francisco,11,Electric,Metropolitan Street Railway Co.
1894,California,San Jose,12,Electric,San Jose & Santa Clara Railroad Co.
1894,California,San Jose,10,Electric,First Street Railroad.
1894,California,San Jose,2.5,Horse,Willow Glen Railroad.
1894,California,San Luis Obispo,2.5,,
1894,California,Santa Barbara,7,,
1894,California,Santa Cruz,7,,
1894,California,Santa Rosa,14,,
1894,California,Stockton,12,Electric,Stockton Electric Railway Co.
1894,California,Woodland,1,,
1894,Tennessee,Bristol ,7,,
1894,Tennessee,Chattanooga,106.25,,
1894,Tennessee,Clarksville,4.2,,
1894,Tennessee,Cleveland,2,,
1894,Tennessee,Deptford,2.5,,
1894,Tennessee,Jackson,7,,
1894,Tennessee,Johnson City,4,,
1894,Tennessee,Knoxville,27,,
1894,Tennessee,Memphis,71.5,,
1894,Tennessee,Nashville,81.25,,
1894,Washington,Everett,11.75,,
1894,Washington,Fairhaven,18.5,,
1894,Washington,New Whatcom,4,,
1894,Washington,Seattle,13.7,,Pacific Northeast Traction
1894,Washington,Seattle,34.75,,PugetSound Traction L&P
1894,Washington,Seattle,23.5,,Seattle Munic St.Ry.
1894,Washington,Spokane,33,,Spokane & Inland
1894,Washington,Spokane,24.25,,Washingtou Water
1894,Washington,Tacoma,48,,Pacific Traction
1894,Washington,Tacoma,13,,Puget Sound Elec. Ry.
1894,Washington,Vancouver,3,,
1894,Washington,Walla Walla,2,,
1894,Indiana,Anderson,9,Electric,Anderson Electric Street Railway Co.
1894,Indiana,Columbus,6.5,Electric,(John S.) Crump’s Street Railway.
1894,Indiana,Evansville,25,Electric,Evansville Street Railway Co.
1894,Indiana,Fort Wayne,18.5,Electric,Fort Wayne Electric Railway
1894,Indiana,Indianapolis,95,Electric,Citizens’ Street Railroad Co
1894,Indiana,Richmond,11,Electric,Richmond City Electric Street Railway Co.
1894,Indiana,South Bend,4.5,Electric,South Bend & Mishawaka Street Railway Co.
1894,Indiana,Terre Haute,20,Electric,Terre Haute Electric Railway Co.
1894,Wisconsin,Appleton,3.5,Electric,
1894,Wisconsin,Ashland,6,Electric,
1894,Wisconsin,Eau Claire,8,Electric,
1894,Wisconsin,Fond du Lac,5,Electric,
1894,Wisconsin,Janesville,6,,
1894,Wisconsin,Madison,8,Electric,
1894,Wisconsin,Marinette,5,Electric,
1894,Wisconsin,Merrill,1.63,Electric,
1894,Wisconsin,Neenah,4,Electric,
1894,Wisconsin,Oshkosh,8.25,Electric,
1894,Wisconsin,Racine,15,,
1894,Wisconsin,Sheboygan,8,,
1894,Wisconsin,West Superior,26,,
1894,Wisconsin,Milwaukee,130,,Milwaukee Street Railway Co. 
1894,Wisconsin,Milwaukee,12,Steam,Milwaukee & Wauwastonsa Motor Railway Co.
1894,Wisconsin,Milwaukee,12,Steam,Milwaukee & Wauwastosa Electric Co. 
1894,Illinois,Chicago,557,,
1894,Illinois,Aurora,18,,
1894,Illinois,Bloomington,11,,
1894,Illinois,CAIRO,4,,
1894,Illinois,CENTRALIA,3.5,,
1894,Illinois,CHAMPAIGN,9,,
1894,Illinois,CHILLICOTHE,3.5,,
1894,Illinois,DANVILLE,8,,
1894,Illinois,DECATUR,13,,
1894,Illinois,DU QUOIN,3,,
1894,Illinois,ELGIN,13,,
1894,Illinois,FREEPORT,4,,
1894,Illinois,GALESBURG,9,,
1894,Illinois,HARVEY,3,,
1894,Illinois,JACKSONVILLE,5,,
1894,Illinois,JOLIET,16,,
1894,Illinois,KANKAKEE,6,,
1894,Illinois,LA SALLE,9.25,,
1894,Illinois,MECHANICSBURG,7.25,,
1894,Illinois,MOLINE,4,,
1894,Illinois,OTTAWA,8,,
1894,Illinois,PEORIA,24,,
1894,Illinois,QUINCY,11.75,,
1894,Illinois,ROCKFORD,15,,
1894,Illinois,ROCK ISLAND,6.5,,
1894,Illinois,SPRINGFIELD,22,,
1894,Illinois,STREATOR,5.75,,
1894,Oregon,Portland,32,,Portland Ry. Co. 
1894,Oregon,Portland,35,,City & Suburban Railway Co. 
1894,Oregon,Portland,17.5,,East Side Railway Co. 
1894,Oregon,Portland,1,,City & West Portland Park Motor Co. 
1894,Oregon,Portland,3.5,,Barnes Heights & Cornell Mountain Ry. Co. 
1894,Oregon,Portland,7.5,,Portland Cable Co. 
1894,Oregon,Portland,2,,Portland Street Railway Co. 
1894,Oregon,Salem,8,,Salem Light & Traction Co.
1894,Iowa,CLINTON,12,Electric,
1894,Iowa,DAVENPORT,43,Electric,
1894,Iowa,DUBUQUE,13,Electric,
1894,Iowa,SIOUX CITY,21.25,Electric,
1897,Iowa,BURLINGTON,11,Electric,
1897,Iowa,CEDAR RAPIDS,14,Electric,
1897,Iowa,CLINTON,14,Electric,
1897,Iowa,DAVENPORT,42,Electric,
1897,Iowa,DUBUQUE,15,Electric,
1897,Iowa,FORT MADISON,4.5,Electric,
1897,Iowa,KEOKUK,7,Electric,
1897,Iowa,MARSHALLTOWN,3.5,Electric,
1897,Iowa,MUSCATINE,7.25,Electric,
1897,Iowa,OTTUMWA,7.25,Electric,
1897,Iowa,SIOUX CITY,46.3,Electric,
1897,Iowa,WATERLOO,4.25,Electric,
1897,Alabama,ANNISTON,9.25,,
1897,Alabama,BIRMINGHAM,101,,
1897,Alabama,GADSDEN,11.25,,
1897,Alabama,MOBILE,38,,
1897,Alabama,MONTGOMERY,18.4,,
1897,Alabama,NEW DECATUR,2.87,,
1897,Alabama,OPELIKA,7.33,,
1897,Alabama,SELMA,6,,
1897,Alabama,TUSCALOOSA,6,,
1897,Connecticut,Bridgeport,48.6,,Bridgeport Traction Co
1897,Connecticut,Bristol,7.7,,Bristol & Plainville Tramway Co
1897,Connecticut,Danbury,11.15,,Danbury & Bethel Street Railway Co
1897,Connecticut,Derby,6,,Derby Street Railway Co
1897,Connecticut,Hartford,65,,Hartford Street Railway Co
1897,Connecticut,Hartford,13,,"Hartford, Manchester & Rockville Tramway Co"
1897,Connecticut,Hartford,14,,Hartford & West Hartford Railway Co
1897,Connecticut,Meriden,17,,Meriden Electric Railway Co
1897,Connecticut,New Haven,28.81,,New Haven & Centerville Street Railway Co
1897,Connecticut,New Haven,8.1,,New Haven Street Railway Co
1897,Connecticut,New Haven,21.87,,Fair Haven & Westville Railway Co
1897,Connecticut,New London,7.18,,New London Street Railway Co 
1897,Connecticut,Norwich,12.46,,Norwich Street Railway Co
1897,Connecticut,Stamford,10.04,,Stamford Street Railroad Co
1897,Connecticut,,,,Milford Street Railway Co
1897,Connecticut,New Britain,14.12,,Central Railway Electric Co
1897,Connecticut,,25,,Winchester Avenue Railroad Co
1897,Connecticut,,2,,Manufacturers’ Street Railway Co
1897,Connecticut,Norwalk,7.5,,Norwalk Street Railway Co.
1897,Connecticut,Norwalk,16.8,,Norwalk Tramway Co
1897,Connecticut,,3,,Shelton Street Railway Co
1897,Connecticut,Thompsonville,9,,Enfield & Longmeadow Electric Railway 
1897,Florida,Fort Meade,1.5,,Fort Meade Railway Co
1897,Florida,Jacksonville,3,,Jacksonville Main St Co
1897,Florida,Key West,5,,The Key West Elec Co
1897,Florida,Pensacola,16,,Pensacola Elec Co
1897,Florida,Tampa,30,,130 Tampa Elec Co
1897,Florida,Palatka,4,,Palatka & Heights Rwy Co
1897,Florida,Orlando,7.75,,Orlando St Co
1897,Georgia,Athens,6,Electric,
1897,Georgia,Atlanta,101,Electric,
1897,Georgia,Augusta,24.75,Electric,
1897,Georgia,Columbus ,4,Steam,
1897,Georgia,Columbus ,20.5,Electric,
1897,Georgia,Covington,6,Horse,
1897,Georgia,Macon,25.75,Electric,
1897,Georgia,Rome,5,Electric,
1897,Georgia,Savannah,50,Electric,
1897,Georgia,Savannah,5,Steam,
1897,Georgia,Gainesville,5,Horse,
1897,Kentucky,HENDERSON,7.5,,
1897,Kentucky,FRANKFORT,5.1,,
1897,Kentucky,LEXINGTON,13,,Passenger & Belt Railway Co.
1897,Kentucky,LOUISVILLE,40,Horse,LOUISVILLE STREET RAILWAY SYSTEM 
1897,Kentucky,LOUISVILLE,110,Electric,LOUISVILLE STREET RAILWAY SYSTEM
1897,Kentucky,OWENSBORO,10,,
1897,Kentucky,PADUCAH,11.5,,
1897,Louisiana,New Orleans,64.27,,New Orleans City & Lake Railroad Co.
1897,Louisiana,New Orleans,50.58,,Crescent City Railroad Co.
