Year,State,City,Miles,Company
1894,Georgia,Macon,25.75,Macon Consolidated Street Railway Co.
1894,Georgia,Rome,5,Rome Street Railroad Co.
1894,Georgia,Savannah,14,"City & Suburban	Railroad Co."
1894,Georgia,Savannah,25,Savannah Electric Railway Co.
1894,Georgia,Savannah,8,"Savannah, Thunderbolt & Isle Of Hope Railway Co."
1894,Idaho,Boise City,3,Boise Rapid Transit Co.
1894,Illinois,Alton,3.25,Alton Electric Street Railway Co.
1894,Illinois,Alton,3.13,Alton Improvement Association.
1894,Illinois,Aurora,18,Aurora Street Railway Co.
1894,Illinois,Bloomington,11,Bloomington City Railway Co.
1894,Illinois,Cairo,4,The Delta Electric Co.
1894,Illinois,Centralia,3.5,Centraiia & Central City Street Railway Co.
1894,Illinois,Champaign,9,Urban A & Champaign Electric Street Railway Co.
1894,Illinois,Chicago,53,Calumet Electric Street Railway Co.
1894,Illinois,Chicago,161,Chicago City Railway Co.
1894,Illinois,Chicago,17,Chicago North Shore Street Railway Co.
1894,Illinois,Chicago,27,Cicero & Proviso Street Railway Co.
1894,Illinois,Chicago,6,Lake Street Elevated Railroad Co.
1894,Illinois,Chicago,81,North Chicago Street Railroad Co.
1894,Illinois,Chicago,11.5,Ogden Street Railway Co.
1894,Illinois,Chicago,31.6,South Chicago City Railway Co.
1894,Illinois,Chicago,185,West Chicago Street Railroad Co.
1894,Illinois,Chillicothe,3.5,People'S Street Railway Co.
1894,Illinois,Danville,8,"Danville Gas, Electric Light & Street Railway Co."
1894,Illinois,Decatur,13,City Electric Railway Co.
1894,Illinois,Du Quoin,3,Du Quoin Street Railroad Co.
1894,Illinois,Elgin,13,Elgin City Railway Co.
1894,Illinois,Freeport,4,Freeport Street Railway Co.
1894,Illinois,Galesburg,9,Galesburg Electric Motor & Power Co.
1894,Illinois,Harvey,3,Harvey Transit Co.
1894,Illinois,Harvey,5.5,Harvey Transit Co.
1894,Illinois,Jacksonville,5,Jacksonville Railway Co.
1894,Illinois,Joliet,16,Joliet Street Railway Co.
1894,Illinois,Kankakee,6,Kankakee Electric Railway Co.
1894,Illinois,Kankakee,4.2,North Kankakee Electric Light & Railway Co.
1894,Illinois,La Salle,9.25,City Electric Railway Co.
1894,Illinois,Mechanicsburg,7.25,Mechanicsburg & Buffalo Railway Co.
1894,Illinois,Moline,4,Moline Central Street Railway Co.
1894,Illinois,Ottawa,8,Ottawa Electric Street Railway.
1894,Illinois,Peoria,24,Central Railway Co.
1894,Illinois,Peoria,14,Fort Clark Street Railway Co.
1894,Illinois,Quincy,11.75,Quincy Horse Railway & Carrying Co.
1894,Illinois,Rock Island,6.5,Rock Island A Milan Street Railway Co.
1894,Illinois,Rockford,15,Rockford City Railway Co.
1894,Illinois,Rockford,11.26,West End Street Railway Co.
1894,Illinois,Springfield,22,Springfield Consolidated Railway Co.
1894,Illinois,Streator,5.75,Streator Railway Co.
1894,Indiana,Anderson,9,Seashore Electric Railway Co.
1894,Indiana,Brownstown,2,Brownstown & Ewing Street Railway Co.
1894,Indiana,Columbia,21,"Columbia Electric Street Railway, Light & Power "
1894,Indiana,Columbus,7,John S Crump'S Street Railway
1894,Indiana,Elkhart,7,Elizabeth Street Railway Co.
1894,Indiana,Evansville,25,Evansville Street Railway Co.
1894,Indiana,Fort Wayne,2,Centllyre Street Railway Co.
1894,Indiana,Fort Wayne,18.5,Fort Wayne Electric Railway.
1894,Indiana,Fort Wayne,1,Lakeside Electric Railway.
1894,Indiana,Green Castle,3,Green Castle City Street Railway Co.
1894,Indiana,Hammond,8,"Hammond, Whiting & East Chicago Electric Railway Co."
1894,Indiana,Indianapolis,100,Citizens' Street Railroad Co.
1894,Indiana,Jeffersonville,5,Jeffersonville City Railway Co.
1894,Indiana,Kokomo,4,Kokomo City Street Railway Co.
1894,Indiana,Lafayette,10,Lafayette Street Railway
1894,Indiana,Logansport,5.5,Logansport Railway Co.
1894,Indiana,Madison,2.5,Madison Street Railway Co.
1894,Indiana,Michigan City,4,Lake Cities Electric Railway Co.
1894,Indiana,Muncie,6,Citizens' Street Railway Co.
