Year,Area,Population
1930,Minnesota,2563953
1930,Mississippi,2009821
1930,Missouri,3629367
1930,Montana,537606
1930,Nebraska,1377963
1930,Nevada,91058
1930,New Hampshire,465293
1930,New Jersey,4041334
1930,New Mexico,423317
1930,New York,12588066
1930,North Carolina,3170276
1930,North Dakota,680845
1930,Ohio,6646697
1930,Oklahoma,2396040
1930,Oregon,953786
1930,Pennsylvania,9631350
1930,Rhode Island,687497
1930,South Carolina,1738765
1930,South Dakota,692849
1930,Tennessee,2616556
1930,Texas,5824715
1930,Utah,507847
1930,Vermont,359611
1930,Virginia,2421851
1930,Washington,1563396
1930,West Virginia,1729205
1930,Wisconsin,2939006
1930,Wyoming,225565
