audit_timestamp,source_path,package_root,source_relative_to_package,filename,suffix,detected_type,mdls,xattr,first32_hex,sha256,source_size_bytes,status,converter,output_path,output_size_bytes,notes
2026-05-13 17:43:53 AEST,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/paper-2026-08-streetcar-and-interurban-deployment-in-the-united-states-1894-1926/code/legacy/candidate_files/coauthor_thesis_code/validation_workbook/ComparisonWithStudentsWork.xlsm,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/paper-2026-08-streetcar-and-interurban-deployment-in-the-united-states-1894-1926,code/legacy/candidate_files/coauthor_thesis_code/validation_workbook/ComparisonWithStudentsWork.xlsm,ComparisonWithStudentsWork.xlsm,.xlsm,Microsoft Excel 2007+,"kMDItemContentType   = ""org.openxmlformats.spreadsheetml.sheet.macroenabled"" | kMDItemFSCreatorCode = """" | kMDItemFSTypeCode    = """" | kMDItemKind          = ""Microsoft Excel Macro-Enabled Workbook (.xlsm)""",com.apple.quarantine: 0083;61708c4a;Mail;09258C94-4638-4957-94AE-0947A14FB26E,504b0304140006000800000021005dfdfc7b87020000ae0f0000130008025b43,343dd55468718c3ff309aed6f75ebead96280f695089e7f9a041d5ea0987f647,2265455,converted_clean,openpyxl,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/paper-2026-08-streetcar-and-interurban-deployment-in-the-united-states-1894-1926/legacy_document_sidecars/code/legacy/candidate_files/coauthor_thesis_code/validation_workbook/ComparisonWithStudentsWork.xlsm.txt,1234526,openpyxl extracted workbook sheets to CSV-like text
2026-05-13 17:43:53 AEST,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/paper-2026-08-streetcar-and-interurban-deployment-in-the-united-states-1894-1926/code/legacy/candidate_files/copied_candidates/streetcar-data-summarised/full_datatable.xlsx,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/paper-2026-08-streetcar-and-interurban-deployment-in-the-united-states-1894-1926,code/legacy/candidate_files/copied_candidates/streetcar-data-summarised/full_datatable.xlsx,full_datatable.xlsx,.xlsx,Microsoft Excel 2007+,"kMDItemContentType   = ""org.openxmlformats.spreadsheetml.sheet"" | kMDItemFSCreatorCode = """" | kMDItemFSTypeCode    = """" | kMDItemKind          = ""Microsoft Excel Workbook (.xlsx)""",,504b030414000600080000002100ff41100eb4010000c6080000130008025b43,689e9eb2678e643a44c0c9f442dcdb29c6509340c135fe7afc0a63b8b5759344,1386987,converted_clean,openpyxl,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/paper-2026-08-streetcar-and-interurban-deployment-in-the-united-states-1894-1926/legacy_document_sidecars/code/legacy/candidate_files/copied_candidates/streetcar-data-summarised/full_datatable.xlsx.txt,2384736,openpyxl extracted workbook sheets to CSV-like text
2026-05-13 17:43:53 AEST,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/paper-2026-08-streetcar-and-interurban-deployment-in-the-united-states-1894-1926/code/legacy/candidate_files/copied_candidates/streetcar-data-summarised/students_master_sheet.xlsx,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/paper-2026-08-streetcar-and-interurban-deployment-in-the-united-states-1894-1926,code/legacy/candidate_files/copied_candidates/streetcar-data-summarised/students_master_sheet.xlsx,students_master_sheet.xlsx,.xlsx,Microsoft Excel 2007+,"kMDItemContentType   = ""org.openxmlformats.spreadsheetml.sheet"" | kMDItemFSCreatorCode = """" | kMDItemFSTypeCode    = """" | kMDItemKind          = ""Microsoft Excel Workbook (.xlsx)""",,504b030414000600080000002100ed1f2d45f6010000a8090000130008025b43,6ae335ed1b4b2a7a2278e5720d5fca05ffd1c58be1a79b4460c927878ec1b8bb,1084940,converted_clean,openpyxl,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/paper-2026-08-streetcar-and-interurban-deployment-in-the-united-states-1894-1926/legacy_document_sidecars/code/legacy/candidate_files/copied_candidates/streetcar-data-summarised/students_master_sheet.xlsx.txt,1264263,openpyxl extracted workbook sheets to CSV-like text
